year,month,day,team,opponent,location,teamscore,oppscore,OT,D1
2018,11,17,Abilene Christian,Central Ark.,H,7,16,NA,2
2018,9,16,Abilene Christian,Houston Baptist,V,38,13,NA,2
2018,9,30,Abilene Christian,Incarnate Word,H,34,44,NA,2
2018,10,7,Abilene Christian,McNeese,V,21,24,NA,2
2018,10,13,Abilene Christian,Nicholls St.,H,28,12,NA,2
2018,11,3,Abilene Christian,Northwestern St.,H,49,47,NA,2
2018,11,10,Abilene Christian,Sam Houston St.,V,17,10,NA,2
2018,9,23,Abilene Christian,SFA,V,21,24,NA,2
2018,10,21,Abilene Christian,Southeastern La.,V,48,27,NA,2
2018,10,27,Alabama A&M,Alabama St.,H,27,10,NA,2
2018,10,13,Alabama A&M,Alcorn,H,26,35,NA,2
2018,11,3,Alabama A&M,Ark.-Pine Bluff,V,45,14,NA,2
2018,11,10,Alabama A&M,Grambling,H,16,29,NA,2
2018,9,29,Alabama A&M,Jackson St.,V,21,16,NA,2
2018,11,17,Alabama A&M,Mississippi Val.,V,42,14,NA,2
2018,9,22,Alabama A&M,Southern U.,H,27,29,NA,2
2018,10,7,Alabama A&M,Texas Southern,V,42,21,NA,2
2018,10,27,Alabama St.,Alabama A&M,V,10,27,NA,2
2018,10,6,Alabama St.,Alcorn,V,28,25,NA,2
2018,9,23,Alabama St.,Grambling,V,0,34,NA,2
2018,11,10,Alabama St.,Jackson St.,H,2,20,NA,2
2018,9,15,Alabama St.,Kennesaw St.,V,13,62,NA,2
2018,11,22,Alabama St.,Mississippi Val.,H,31,24,1,2
2018,11,17,Alabama St.,Prairie View,V,13,66,NA,2
2018,11,3,Alabama St.,Texas Southern,H,30,21,NA,2
2018,11,3,Albany (NY),Delaware,H,16,21,NA,2
2018,10,27,Albany (NY),Maine,V,9,28,NA,2
2018,9,16,Albany (NY),Morgan St.,H,30,27,NA,2
2018,11,10,Albany (NY),New Hampshire,V,10,24,NA,2
2018,9,8,Albany (NY),Rhode Island,V,26,45,NA,2
2018,10,14,Albany (NY),Richmond,H,24,27,NA,2
2018,9,23,Albany (NY),Saint Francis (PA),H,35,28,NA,2
2018,11,17,Albany (NY),Stony Brook,H,25,23,NA,2
2018,10,20,Albany (NY),Towson,H,28,56,NA,2
2018,10,6,Albany (NY),William & Mary,V,22,25,NA,2
2018,10,13,Alcorn,Alabama A&M,V,35,26,NA,2
2018,10,6,Alcorn,Alabama St.,H,25,28,NA,2
2018,10,20,Alcorn,Grambling,H,33,26,NA,2
2018,11,17,Alcorn,Jackson St.,H,24,3,NA,2
2018,9,23,Alcorn,Mississippi Val.,V,56,20,NA,2
2018,12,15,Alcorn,N.C. A&T,H,22,24,NA,2
2018,10,27,Alcorn,Prairie View,V,27,13,NA,2
2018,9,30,Alcorn,Southern U.,V,20,3,NA,2
2018,12,1,Alcorn,Southern U.,H,37,28,NA,2
2018,9,16,Alcorn,Texas Southern,H,27,15,NA,2
2018,11,3,Ark.-Pine Bluff,Alabama A&M,H,14,45,NA,2
2018,10,27,Ark.-Pine Bluff,Grambling,V,38,45,1,2
2018,10,6,Ark.-Pine Bluff,Jackson St.,H,27,30,NA,2
2018,10,20,Ark.-Pine Bluff,Mississippi Val.,V,47,48,2,2
2018,9,23,Ark.-Pine Bluff,Prairie View,H,13,62,NA,2
2018,9,16,Ark.-Pine Bluff,South Dakota St.,V,6,90,NA,2
2018,11,10,Ark.-Pine Bluff,Southern U.,V,24,56,NA,2
2018,11,18,Ark.-Pine Bluff,Texas Southern,V,15,10,NA,2
2018,11,10,Austin Peay,Eastern Ill.,V,21,52,NA,2
2018,11,3,Austin Peay,Eastern Ky.,H,13,17,NA,2
2018,9,29,Austin Peay,Jacksonville St.,V,32,48,NA,2
2018,9,15,Austin Peay,Morehead St.,V,78,40,NA,2
2018,11,17,Austin Peay,Murray St.,H,48,23,NA,2
2018,9,9,Austin Peay,Presbyterian,H,24,0,NA,2
2018,10,13,Austin Peay,Southeast Mo. St.,V,27,31,NA,2
2018,10,7,Austin Peay,Tennessee St.,H,49,34,NA,2
2018,10,27,Austin Peay,Tennessee Tech,H,41,10,NA,2
2018,9,22,Austin Peay,UT Martin,V,7,37,NA,2
2018,11,17,Bethune-Cookman,Florida A&M,V,33,19,NA,2
2018,9,22,Bethune-Cookman,Howard,H,35,41,NA,2
2018,10,6,Bethune-Cookman,Mississippi Val.,H,41,27,NA,2
2018,11,3,Bethune-Cookman,Morgan St.,V,30,28,NA,2
2018,10,20,Bethune-Cookman,N.C. A&T,H,10,35,NA,2
2018,11,9,Bethune-Cookman,N.C. Central,H,28,25,2,2
2018,9,29,Bethune-Cookman,Savannah St.,V,35,20,NA,2
2018,10,13,Bethune-Cookman,South Carolina St.,V,28,26,NA,2
2018,9,2,Bethune-Cookman,Tennessee St.,V,3,34,NA,2
2018,9,15,Brown,Cal Poly,V,15,44,NA,2
2018,11,10,Brown,Columbia,H,20,42,NA,2
2018,10,20,Brown,Cornell,H,16,34,NA,2
2018,11,17,Brown,Dartmouth,V,7,49,NA,2
2018,9,29,Brown,Georgetown,H,35,7,NA,2
2018,9,22,Brown,Harvard,H,17,31,NA,2
2018,10,27,Brown,Penn,H,7,13,NA,2
2018,10,13,Brown,Princeton,V,10,48,NA,2
2018,10,6,Brown,Rhode Island,V,0,48,NA,2
2018,11,3,Brown,Yale,V,16,46,NA,2
2018,10,13,Bryant,Central Conn. St.,H,14,48,NA,2
2018,10,6,Bryant,Duquesne,V,21,20,NA,2
2018,10,20,Bryant,Fordham,V,42,41,NA,2
2018,11,17,Bryant,Howard,V,56,55,NA,2
2018,9,15,Bryant,Marist,H,37,27,NA,2
2018,9,22,Bryant,Robert Morris,H,49,46,NA,2
2018,10,27,Bryant,Sacred Heart,V,26,49,NA,2
2018,11,3,Bryant,Saint Francis (PA),V,14,27,NA,2
2018,9,8,Bryant,Stony Brook,V,21,50,NA,2
2018,11,10,Bryant,Wagner,H,36,52,NA,2
2018,10,6,Bucknell,Colgate,H,3,27,NA,2
2018,11,17,Bucknell,Fordham,H,14,17,NA,2
2018,11,10,Bucknell,Georgetown,V,3,14,NA,2
2018,9,29,Bucknell,Holy Cross,V,19,16,NA,2
2018,10,20,Bucknell,Lafayette,H,27,29,NA,2
2018,11,3,Bucknell,Lehigh,V,17,45,NA,2
2018,10,13,Bucknell,Monmouth,V,19,36,NA,2
2018,9,15,Bucknell,Penn,V,17,34,NA,2
2018,9,8,Bucknell,Sacred Heart,H,14,30,NA,2
2018,9,22,Bucknell,Villanova,V,7,49,NA,2
2018,9,1,Bucknell,William & Mary,H,7,14,NA,2
2018,11,17,Butler,Davidson,V,38,41,NA,2
2018,10,27,Butler,Dayton,H,28,38,NA,2
2018,10,6,Butler,Drake,V,6,36,NA,2
2018,11,3,Butler,Jacksonville,V,44,48,NA,2
2018,9,29,Butler,Morehead St.,H,24,21,NA,2
