,team,YUSAG_coef
191,Southeast Mo. St.,-19.13678160887219
192,Wagner,-19.390268819095287
193,ETSU,-19.623580317467898
194,Elon,-20.16297483356301
195,Grambling,-21.1989989359429
196,Lehigh,-21.932558879112122
197,Campbell,-21.983559819295944
198,Stony Brook,-22.29777859381209
199,Alcorn,-22.80474204949847
200,Mercer,-22.865079223827177
201,Cal Poly,-22.952062246560395
202,Bucknell,-23.314681779761216
203,Colgate,-23.467392722154553
204,Montana,-24.287669184914368
205,Presbyterian,-24.4442525569291
206,William & Mary,-25.403316770176378
207,Northwestern St.,-25.93960806578221
208,SFA,-26.4229481618581
209,Monmouth,-27.570369828970055
210,N.C. Central,-28.316450028645757
211,Gardner-Webb,-28.662929269130796
212,Eastern Ill.,-29.117191813794516
213,Holy Cross,-29.515836302280622
214,Southern Utah,-29.534524977640704
215,Texas Southern,-30.66808869320101
216,Fordham,-32.16714616490412
217,Idaho,-32.738553856126735
218,Alabama A&M,-33.875911220148474
219,Southern U.,-33.92095575581349
220,Tennessee Tech,-34.39097571834257
221,Florida A&M,-34.43255809540119
222,Central Conn. St.,-35.36006131140273
223,Duquesne,-35.865769558934446
224,Incarnate Word,-36.32233715283987
225,VMI,-38.7901832665387
226,Delaware St.,-42.589128056695245
227,Jackson St.,-43.52162869370835
228,Hampton,-45.301475714557114
229,Howard,-45.76023033824179
230,Savannah St.,-46.75173958973086
231,Morgan St.,-48.80457796332595
232,Lamar University,-53.40891131775376
