,team,YUSAG_coef
191,William & Mary,-17.180672478715685
192,Old Dominion,-17.800410739944397
193,Sacred Heart,-17.804471698538247
194,Northwestern St.,-18.19422702814982
195,Central Conn. St.,-19.04525919111605
196,Florida A&M,-19.505811112992177
197,SFA,-20.325429722223248
198,Saint Francis (PA),-21.396669926406357
199,Grambling,-22.461621105050767
200,UConn,-22.567184128928847
201,Tennessee St.,-22.638850051791636
202,Marist,-23.466712355019805
203,Butler,-23.475162789915977
204,Campbell,-23.6030548073966
205,Norfolk St.,-23.7140363401228
206,Morgan St.,-24.36742775615824
207,Stetson,-24.754360878786933
208,Tennessee Tech,-25.141815874988847
209,Wagner,-25.289193050990978
210,UAB,-25.354533636737436
211,Texas St.,-25.45690518237919
212,Alabama A&M,-25.5721779626761
213,Bryant,-25.757621692295942
214,Southern U.,-26.2690052300853
215,Davidson,-26.52598109653727
216,Charleston So.,-26.651229902557127
217,Brown,-26.87477882240567
218,Lehigh,-27.541461871977095
219,Georgetown,-27.562335813450463
220,Western Caro.,-27.60812897658097
221,Houston Baptist,-28.7498995128955
222,N.C. Central,-29.170836059595395
223,UTEP,-29.333919522097258
224,Fordham,-30.005694502852883
225,Savannah St.,-30.02297626576344
226,Delaware St.,-30.86773422029691
227,Lafayette,-31.227159720603
228,Bucknell,-32.381159821993585
229,Jacksonville,-33.43302718358259
230,Valparaiso,-34.14787990493197
231,Alabama St.,-34.15504047205142
232,Robert Morris,-34.57362159981469
233,Jackson St.,-34.78670762415683
234,Gardner-Webb,-34.79693506763519
235,VMI,-37.24891725252637
236,Hampton,-37.450863161126286
237,Texas Southern,-38.744337494735895
238,Boise St.,-39.064205981415704
239,Mississippi Val.,-39.419606385141016
240,Presbyterian,-39.886195755642035
241,Ark.-Pine Bluff,-43.369370137685955
